
Above Average Ratings for Business in Category: Mexican food

	Osteria del FIGO  --  4.0  --  1210 Howell Mill Road, Westside / Home Park, Atlanta, GA 30318

	Sotto Sotto  --  4.0  --  309 N Highland Ave NE, Inman Park, Atlanta, GA 30307

	La Tavola Trattoria  --  4.0  --  992 Virginia Ave. NE, Virginia Highland, Atlanta, GA 30306

	Ippolito's Italian Restaurant  --  4.0  --  6623 Roswell Rd NE, Ste G, Atlanta, GA 30328

	Alfredo's Italian Restaurant  --  4.0  --  1989 Cheshire Bridge Rd NE, Atlanta, GA 30324

	Sal's Jr Pizzeria & Italian Restaurant  --  4.0  --  7401 Peppers Ferry Blvd, Fairlawn, VA 24141

	Firehouse Subs  --  4.0  --  800 University City Blvd., Blacksburg, VA 24060

	Sal's Italian Restaurant & Pizza  --  4.0  --  709 W Main St, Radford, VA 24141

	Jimmy Johns Gourmet Sandwiches  --  4.0  --  217 College Ave, Blacksburg, VA 24060

	Amelia's Pizzeria & Restaurant  --  4.0  --  1130 Cambria St NE, Christiansburg, VA 24073

	Ceritano's Ristorante  --  4.0  --  428 N Main St, Blacksburg, VA 24060

	Mario's In Westport  --  4.0  --  204 Westport Rd, Kansas City, MO 64111

	BRAVO! Cucina Italiana  --  4.0  --  7301 NW 87th St, Kansas City, MO 64153

	Osteria Il Centro  --  4.0  --  5101 Main St, Kansas City, MO 64112

	Cafe Al Dente  --  4.0  --  412D Delaware St, Rivermarket, Kansas City, MO 64105

	Cupini's  --  4.0  --  1809 Westport Rd, Kansas City, MO 64111

	Bella Napoli  --  4.0  --  6229 Brookside Blvd, Brookside, Kansas City, MO 64113

	Cascone's  --  4.0  --  3733 North Oak Trafficway, Kansas City, MO 64116

	La Cucina di Mamma  --  4.0  --  6227 Brookside Blvd, Brookside, Kansas City, MO 64114

	Lidia's  --  4.0  --  101 W 22nd St, Greater Downtown, Kansas City, MO 64108

	Garozzo's  --  4.0  --  526 Harrison St, Greater Downtown, Kansas City, MO 64106
